Reference Number,Supplier Name,Value,Purchase Order Date,Description of Goods or Services,Local Authority Department
PO00041980,HILL-ROM LTD,"4,505.25",30/03/2017,"To supply and install H frame in living area in new property. Service user is lifted in a horizontal `stretched` position and therefore requires specialist attachments. All correspondence to be via mum.

** Amended price on order originally raised for 6,227.35 but the price has been lowered by 1,722.10 as per quote no 31855 **

Req dated 22.12.15",Health and Adult Services
PO00041980,HILL-ROM LTD,"1,722.10",30/03/2017,"Increased order by 1,722.10 as per credit number 3124998",Health and Adult Services
PO00044520,BAM CONSTRUCTION LIMITED,"1,624,396.09",24/03/2017,"contract code ecm_40739 - DRES Ref: 8514 - pre-construction services agreement in respect of the development of St Mary Magdalene School, Greenwich Peninsula ref PB724

req dated 6.6.16",Modernisation
PO00044520,BAM CONSTRUCTION LIMITED,"1,338.97",24/03/2017,"DRES Ref: 11829 Extension of PO00044520 by 0.08% (1,338.97) purchase order is needed to pay Bam the final installment on the order, Bam to issue credit for this amount.

Req dated 20.3.17",Modernisation
PO00044813,M G AXTON,"800,000.00",03/02/2017,"Contract Code ecm_40812

Hidden Homes Programme 2016-18

Year 1: 2016-17


Req date 25.5.16",Capital Housing Revenue Acc
PO00045547,SECURE ELECTRONIC APPLICATIONS LTD T/A S,"10,004.77",06/01/2017,"Wentworth House, Charlton Road, Charlton ~ Supply and commission a warden call system as per your quote ref 16179 for 7,034.41 plus 900 additional items listed on the quote. DHIT442

Req dated 7.6.16

Increase of 2,070.36 as asbestos work and extra pull cords required as per invoice number 49029

Req dated 22.12.16",Capital Housing Revenue Acc
PO00047025,NORTHGATE PUBLIC SERVICES (UK) LTD,"5,491.00",30/03/2017,"contract code ecm_40647 Northgate M3 Public Protection Database Support and Maintenance

Extension of current service contract for M3 PP software

for period of 31.12.2016 to 29.12.2017 as per email dated 13.10.16


Req date 26.9.16",Comm Safety and Environment
PO00047025,NORTHGATE PUBLIC SERVICES (UK) LTD,"5,491.00",30/03/2017,"contract code ecm_40647 Northgate M3 Public Protection Database Support and Maintenance

Extension of current service contract for M3 PP software

for period of 31.12.2016 to 29.12.2017 as per email dated 13.10.16


Req date 26.9.16",Comm Safety and Environment
PO00047025,NORTHGATE PUBLIC SERVICES (UK) LTD,"5,491.00",30/03/2017,"contract code ecm_40647 Northgate M3 Public Protection Database Support and Maintenance

Extension of current service contract for M3 PP software

for period of 31.12.2016 to 29.12.2017 as per email dated 13.10.16


Req date 26.9.16",Comm Safety and Environment
PO00047025,NORTHGATE PUBLIC SERVICES (UK) LTD,"5,491.00",30/03/2017,"contract code ecm_40647 Northgate M3 Public Protection Database Support and Maintenance

Extension of current service contract for M3 PP software

for period of 31.12.2016 to 29.12.2017 as per email dated 13.10.16


Req date 26.9.16",Comm Safety and Environment
PO00047025,NORTHGATE PUBLIC SERVICES (UK) LTD,"5,491.00",30/03/2017,"contract code ecm_40647 Northgate M3 Public Protection Database Support and Maintenance

Extension of current service contract for M3 PP software

for period of 31.12.2016 to 29.12.2017 as per email dated 13.10.16


Req date 26.9.16",Comm Safety and Environment
PO00047025,NORTHGATE PUBLIC SERVICES (UK) LTD,812.00,30/03/2017,"M3PP Software support/ maintenance contract. Additional for payment towards Invoice No 91385925

A4 Req date 6.3.17
",Comm Safety and Environment
PO00047816,CONCERTO SUPPORT SERVICES LIMITED,"15,000.00",30/03/2017,"contract code ecm_37472 - DRES Ref: 10544 - taise cost to cover projected contract cost year 2

req date 1.11.16",Planned Maintenance
PO00047816,CONCERTO SUPPORT SERVICES LIMITED,"1,000.00",30/03/2017,"DRES Ref: 11905 extension of PO00047816 by 6.6% (1,000). This is being done as PO00047816 was raised for incorrect amount.",Planned Maintenance
PO00048188,O2 (UK) LTD,"9,961.40",11/01/2017,"20 x Apple iPad Air 2 Wi-Fi + Cellular 128GB space Grey Tablet 4G iOS (product code MGWL2B/A Plus 20 x 5GB Data SIMS @ 10 per month - Contract  Ref: ECM-36750 

RP2240",Chief Executives
PO00048448,O2 (UK) LTD,"23,482.50",11/01/2017,contract code ecm_36750 - 200 x good collaboration suite licences,Chief Executives
PO00048448,O2 (UK) LTD,"5,760.00",11/01/2017,"200 x 1 year gold annual flex support charge

as per quote O2-1120161212

RP2245",Chief Executives
PO00048554,QUAGGY DEVELOPMENT TRUST GWCC,"68,400.22",04/01/2017,"Contract code: ecm_36765. RBG retention, 7% balance (of 10% performance retention) outstanding. This invoice follows our interim invoice # 16 dated 26/8/2016 and represents 7% x total contract value 977,146 and is in respect of -

* Children engaged from those reg`d 2% (target 65%)
* % of successful EH referrals 3% (target 100%)
* % entitled 2yo places in free early learning places or making a positive choice (Code 99) 2% (target 75%) Invoice No 18

Req dated 14.12.16",Childrens Services
PO00048565,SOCITM LIMITED,"25,000.00",05/01/2017,"ICT Strategy Project - Support the creation of Digital Strategy - Fixed Price Agreement


Quote Number QU-0466


 

Req date 3.1.17",Chief Executives
PO00048567,RESTORATIVE NOW LIMITED,"5,400.00",05/01/2017,"RJ Development - Facilator training 3 and 5 Coaching and Dudding days

Invoice No 42


Req date 16.12.16",Childrens Services
PO00048570,SSI SCHAEFER LTD,"5,950.00",05/01/2017,"Awaiting Contract ID
CON670 Signed by Pippa Hack
300 x 240 litre blue lids + pins @ 5.95
300 x 240 litre green lids + pins @ 5.95
400 x 240 litre grey lids + pins @ 5.95",Comm Safety and Environment
PO00048571,SELCHP,"500,000.00",05/01/2017,"Selchp contract ID  ecm - 36809 until 2024
Waste Disposal for Dec 16
Invoice no WO8610",Comm Safety and Environment
PO00048581,PROSPECTS SERVICES LTD,"300,000.00",05/01/2017,"contract code ecm_37482 Career information, guidance and tracking service provided to education providers in RBG

Greenwich Service Fee for Year 2 - September 2016 to August 2017

September 2016 to November 2016 - 75,000 (25%)

December 2016 to February 2107 - 150,000 (50%)

March 2107 to May 2107 - 45,000 (15%)

June 2017 to August 2017 - 30,000 (10%)


Req date 23.11.16",Childrens Services
PO00048583,RIDER LEVETT BUCKNALL UK LTD,"134,030.00",05/01/2017,"Contract code: ecm_43251. DRES Ref: 9889 - Project management consultancy services for the development of Sutcliffe Park, Eltham Road Req dated 8.8.16",Other General Fund
PO00048584,DURABLE CONTRACTS LTD,"9,840.00",05/01/2017,"Altash Way, Eltham, SE9 3JH. To replace roof to property. 
Req date 3.1.17
7/2/2017 finance code ammended as Per email 6th February 2017 from K200003/1027K to Y31000302/CAP13",Capital Housing Revenue Acc
PO00048585,OCOBASE LTD,"9,093.00",05/01/2017,"DRES Ref: 10856. Insurance premiums for year from 25.12.16  amount includes insurance premium tax as per invoice number WAR/GRE/11/16

Req dated 7.12.16",Housing Services HRA
PO00048594,FIRST ABOUT PLUMBING & CARPENTRY LTD,"7,259.50",05/01/2017,"DRES Ref: 10942. Haimo Primary Expansion: To provide drainage jetting, removal of debris and CCTV survey works at Haimo Primary School to resolve surface water collection on the playground throughout the school.

Req dated 14.12.16",Modernisation
PO00048598,MEARS LTD,"475,230.55",06/01/2017,"contract code ecm_43185 Sarah Turnbull House and 1-40 Defiance Walk.
Window renewal, fire alarm system renewal 

Agree to the appointment of Mears Limited, who provided the lowest qualifying tender of 475,230.55, to undertake the renewal of windows, communal fire alarm system and communal showers at Sarah Turnbull House and Defiance Walk.


Req date 9.12.16",Capital Housing Revenue Acc
PO00048617,CYCLE CONFIDENT LIMITED,"6,760.00",06/01/2017,"DRES Ref: 10980. To train up to 5 staff and provide 6 16` bikes and 6 helmets in each of five primary schools at 1,352.00 plus vat per school.
Breakdown per school:
Trainer costs - 380
Bike costs - 900
Helmet costs - 72

Req dated 19.12.16",Transportation Schemes
PO00048622,STEER DAVIS GLEAVE,"8,000.00",06/01/2017,"DRES Ref: 11004. Monitoring of Traffic surveys at various locations to support the experiment closure of woodland crescent over a seven month period. Outputs will include three technical notes discussing the existing arrangements, an interim arrangement and a final note at the end of the seven month period.as per your SDG Ref: 230674P1

Req dated 20.12.16",Transportation Schemes
PO00048624,CDW LIMITED,"7,213.30",06/01/2017,"2 x 210-ACXS Dell PowerEdge R360 Server (TMP1185250) @ 3,606.55 each as per quote SQU2596861v1 (RBG453)

RP04646",Chief Executives
PO00048625,TRUSTID LIMITED,"7,500.00",06/01/2017,"Year 2 TrustID Document Verification System - Annual Licence & Support Proposal Ref 14-0284/16-0464 (Approved Project RBG227)

RP04648",Housing Services HRA
PO00048632,BRONTE FILM AND PHOTOGRAPHY LTD,"5,000.00",06/01/2017,"DRES Ref: 11010. For provision of photographic services at the Eltham Cinema Site

Req dated 21.12.16",Other General Fund
PO00048635,BENDCRETE LEISURE LTD,"9,950.00",06/01/2017,"DRES Ref: 11011. For Pre-Design Surveys required to complete 3 detailed design.
Finalise design, drawings, 3 user group meeting and prepare drawings for planning.
Carry out services searches.
Site Survey / Investigation.
Design of drainage scheme including ground investigation of current provision on site and possibility of soak-away.
Preparation of documentation for Planning.

Req dated 21.12.16",Other General Fund
PO00048645,ENGLISH HERITAGE TRUST,"31,000.00",09/01/2017,"Contract Code: ecm_36758. DRES Ref: 10453. North & South Depots Rangers - Chesterfield Walk 01/10/16 - 30/09/17 as per invoice number 0000024730

Req dated 19.10.16",Comm Safety and Environment
PO00048646,ENGLISH HERITAGE TRUST,"39,000.00",09/01/2017,"Contract Code: ecm_36758. DRES Ref: 10454. North & South Depots, Rangers House - Back Rent for North & South Depots Rangers - Chesterfield Walk 01/10/13 - 30/9/16 as per invoice number 0000024729

Req dated 19.10.16",Comm Safety and Environment
PO00048647,O2 (UK) LTD,"7,400.00",09/01/2017,"CONTRACT CODE ECM_36750 PLEASE SUPPLY 50 X BB LEAPS TO BE RECHARGED AND NOT TAKEN FROM TECH FUND 

RP2249",Chief Executives
PO00048649,O2 (UK) LTD,"6,808.00",09/01/2017,"CONTRACT CODE ECM_36750 PLEASE SUPPLY 46 X BB LEAP BUILT IN ERROR AS PART OF MIGRATION TO BE RECHARGED VIA INVOICE RATHER THAN TAKEN FROM TECH FUND

RP2248",Chief Executives
PO00048652,O2 (UK) LTD,"8,550.00",09/01/2017,"ECM_36750 PLEASE SUPPLY 50 BLACKBERRY LEAP HANDSETS -  NON PORTFOLIO @ 171.00 PER DEVICE

RP4801",Chief Executives
PO00048663,SWEETT (UK) LIMITED T/AS CURRIE & BROWN,"6,110.00",09/01/2017,"DRES Ref: 10960. Nathan Way Industrial Site, 82-86 Nathan Way, Woolwich London SE28 0AQ - Consultant Variation Fee to Completion of Project.

Req dated 19.12.16",Other General Fund
PO00048664,ARCADIS LLP,"8,600.00",09/01/2017,"DRES Ref: 10963. Carry out two options appraisals for two sites (Stationers, Crown Wood Academy and Invicta Primary School) Allowance for a site visit to each school and single feedback sessions with the Client to present the findings included.

Req dated 19.12.16",Childrens Services
PO00048683,CITY HEIGHTS(LONDON)LTD P WALKER A-F,"624,135.00",10/01/2017,"contract code ecm_43248 Bathroom Replacement works Barnfield  


 Barnfield Estate Bathroom Replacement Works Phase 3. Approve and award package 2662 for works consisting of Supply and installation of Bathrooms and Associated Works at Barnfield Estate.



Req date 22.12.16",Capital Housing Revenue Acc
