Reference Number,Supplier Name,Value,Purchase Order Date,Description of Goods or Services,Local Authority Department
PO00027706,SWEETT (UK) LTD,"88,098.40",30/03/2015,"undertake quantity surveying duties in accordance with the LCP framework agreement and your mini tender dated 16th April, fee of 1.0% of the contract sum.estimated cost 8,809,840.00 @1% = 88,098.40",Other General Fund
PO00027804,CLEARWAY SERVICES,"3,425.00",05/01/2015,"complete a full garden clearance including removal of the vehicle leaving site clear on completion",Housing Services HRA
PO00027804,CLEARWAY SERVICES,"2,520.00",05/01/2015,"For clearance/ removal of all waste from rear garden and to cut down, level and remove all overgrown trees, foilage and waste and to remove from site.This order agreed for additional time and works on site. As per invoice no 291011 dated 30/06/2014",Housing Services HRA
PO00028841,M G AXTON,"9,708.00",04/03/2015,"10 alwold Crescent, Lee, SE12 9AF - carry out works as per specification quote dated 28.5.14",Housing Services HRA
PO00028841,M G AXTON,"1,495.00",04/03/2015,"variation of 1495 in regards to PO00028841req dated 4.3.15",Housing Services HRA
PO00031323,INTEN LTD,"47,658.49",11/03/2015,"General works to provide enhancements to properties in Hambledown Road (LANB Round 4)",Capital Housing Revenue Acc
PO00031662,MILLENIUM QUEST,"5,345.00",05/02/2015,"Bouygues, Unit 8, Block 2, Woolwich Dockyard Industrial Estate, SE18 5PQ.Provide 11 new Christmas Lights for Eltham Town Centre - Model Valparaiso 2.65m in bright white. ",Regeneration Enterprise and Sk
PO00031720,HILLIER NURSERIES LIMITED,"7,269.00",09/03/2015,"Edith Nesbitt Walk, London, SE9 - order trees as per quote QR14002372
req dated 31.10.14",Regeneration Enterprise and Sk
PO00031720,HILLIER NURSERIES LIMITED,27.00,09/03/2015,Additional 27.00 added to order as per req dated 5.3.15. DRES Ref: 3792. To pay Invoice ASI1500080,Regeneration Enterprise and Sk
PO00032012,ABBEY DISTRIBUTION LIMITED,"15,146.18",13/01/2015,"To supply 3050mm x 2030mm x 6mm perspex cast from Crystal Clear S2000 sheet cut to size as per attached sheet for ultimate fitting to blocks 362-408, 497-551 and 553-639 Middle Park Avenue by our nominated contractor.",Housing Services HRA
PO00032012,ABBEY DISTRIBUTION LIMITED,75.00,13/01/2015,"Incorrect Delivery Charge on invoice no PS10572379 dated 19/12/14, credit issued by supplier No PSCR000742 dated 13/01/15",Housing Services HRA
PO00032641,OFFICE DEPOT UK LIMITED,939.70,05/01/2015,HP LASERJET 5500 MAGENTA CART - C9733A,Regeneration Enterprise and Sk
PO00032641,OFFICE DEPOT UK LIMITED,939.70,05/01/2015,HP LASERJET 5500 YELLOW CART - C9732AHP,Regeneration Enterprise and Sk
PO00032641,OFFICE DEPOT UK LIMITED,"1,737.10",05/01/2015,TONER CARTRIDGE MAGENTA HP CE273A,Regeneration Enterprise and Sk
PO00032641,OFFICE DEPOT UK LIMITED,"1,737.10",05/01/2015,TONER CARTRIDGE CYAN HP CE271A,Regeneration Enterprise and Sk
PO00032641,OFFICE DEPOT UK LIMITED,"1,737.10",05/01/2015,TONER CARTRIDGE YELLOW HP CE272A,Regeneration Enterprise and Sk
PO00032641,OFFICE DEPOT UK LIMITED,"1,069.00",05/01/2015,TONER CARTRIDGE BLACK HP CE270A,Regeneration Enterprise and Sk
PO00032642,OFFICE DEPOT UK LIMITED,925.80,05/01/2015,CARTR TONER MAGENTA HP CE403A,Regeneration Enterprise and Sk
PO00032642,OFFICE DEPOT UK LIMITED,925.80,05/01/2015,CARTR TONER CYAN HP CE401A,Regeneration Enterprise and Sk
PO00032642,OFFICE DEPOT UK LIMITED,925.80,05/01/2015,CARTR TONER YELLOW HP CE402A,Regeneration Enterprise and Sk
PO00032642,OFFICE DEPOT UK LIMITED,639.50,05/01/2015,TONER BLACK HP 507A CE400A,Regeneration Enterprise and Sk
PO00032642,OFFICE DEPOT UK LIMITED,654.95,05/01/2015,HP LASERJET 4600 MAGENTA TONER C9723A,Regeneration Enterprise and Sk
PO00032642,OFFICE DEPOT UK LIMITED,654.95,05/01/2015,HP LASERJET 4600 CYAN TONER C9721A,Regeneration Enterprise and Sk
PO00032642,OFFICE DEPOT UK LIMITED,654.95,05/01/2015,HP LASERJET 4600 YELLOW TONER C9722A,Regeneration Enterprise and Sk
PO00032642,OFFICE DEPOT UK LIMITED,505.45,05/01/2015,HPLASER 4600 BLACK TONER C9720A,Regeneration Enterprise and Sk
PO00032642,OFFICE DEPOT UK LIMITED,398.75,05/01/2015,HP L/JET 4000 MAX TONER C4127X,Regeneration Enterprise and Sk
PO00032644,JK SURFACING (UK) LTD,"8,097.00",05/01/2015,Perrott St Parking Tarmac & Line Marking,Housing Services HRA
PO00032646,CBRE LTD,"13,050.00",05/01/2015,"Unit 4 IO Centre - base rent office from 25.12.14 to 24.3.15 and service charge provisional from 25.12.14 to 24.3.15",Chief Executives
PO00032646,CBRE LTD,"2,084.40",05/01/2015,"Unit 4 IO Centre - base rent office from 25.12.14 to 24.3.15 and service charge provisional from 25.12.14 to 24.3.15 contract id 051054",Chief Executives
PO00032647,FRESH ACRES NURSERIES LTD,"15,858.57",05/01/2015,"Summer bedding 2015",Comm Safety and Environment
