Reference Number,Supplier Name,Value,Purchase Order Date,Description of Goods or Services,Local Authority Department
PO00021883,GREENWICH LEISURE LIMITED,87443,15/07/2014,Basement gym and dry changing rooms refurbishment at Waterfront Leisure Centre as part of the capital invesment programme,Capital Other General Fund
PO00021883,GREENWICH LEISURE LIMITED,4089.9,15/07/2014,Basement gym and dry changing rooms refurbishment at Waterfront Leisure Centre as part of the capital invesment programme,Capital Other General Fund
PO00027803,FM CONWAY LTD,9880,05/09/2014,Undertake building works on property in Blackheath,Housing Services HRA
PO00027803,FM CONWAY LTD,1405.6,05/09/2014,Undertake building works on property in Blackheath,Housing Services HRA
PO00028032,BECKETT RANKINE,14685,21/07/2014,Engineering repair in connection with Green Walk, Capital Transportation
PO00028071,TOPCOAT CONSTRUCTION LTD,5795,06/08/2014,"Hornfair Park paddling pool - 
1) to prepare and apply polybond swimming pool paint to the paddling pool surfaces 
2) supply portable cabins for attendants welfare
",Comm Safety and Environment
PO00028071,TOPCOAT CONSTRUCTION LTD,834,06/08/2014,"Additional Works - Two pack repairs > to remove all loose areas as found on site. Prepare areas and fill with Isopon type two pack filler 350. Perimeter copping > to remove all weeds, moss and loose chippings to outside edges. Prepare and infill with mastic sealants to prevent water ingress 484.
",Comm Safety and Environment
PO00028400,STONE COMPUTERS LTD,6258,03/07/2014, STONENB-1210 Stone Notebook Configuration ,Chief Executives
PO00028400,STONE COMPUTERS LTD,447,03/07/2014, STONENB-1210 Stone Notebook Configuration ,Childrens Services
PO00028400,STONE COMPUTERS LTD,447,03/07/2014, STONENB-1210 Stone Notebook Configuration ,Childrens Services
PO00028400,STONE COMPUTERS LTD,1341,03/07/2014, STONENB-1210 Stone Notebook Configuration ,Adult and Older People
PO00028401,MILTON KEYNES COUNCIL,9793.28,03/07/2014,ROC System Licensing & Support 5 year Contract ,Chief Executives
PO00028406,I-CONNECT,9250,03/07/2014,Annual Charge for I Connect LGPS Pension Scheme 01.03.14 to 28.02.15 ,Chief Executives
PO00028436,OFFICE DEPOT UK LIMITED,240.25,04/07/2014,BROTHER TN6300 BLACK TONER,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,239.25,04/07/2014,HP L/JET 4000 MAX TONER C4127X,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,965.82,04/07/2014,HP LASERJET 9000 TONER CARTRIDGE C8543X,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,800.4,04/07/2014,HP Q5953A MAGENTA LASER CARTRIDGE,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,767.45,04/07/2014,HP Q5952A YELLOW LASERJET CARTRIDGE,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,767.45,04/07/2014,HP Q5951A CYAN LASERJET CARTRIDGE,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,519.05,04/07/2014,HP Q5950A BLACK LASERJET CARTRIDGE,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,939.7,04/07/2014,HP LASERJET 5500 MAGENTA CART - C9733A,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,939.7,04/07/2014,HP LASERJET 5500 YELLOW CART - C9732AHP,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,939.7,04/07/2014,HP LASERJET 5500 CYAN CART - C9731A,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,669.6,04/07/2014,HP LASERJET 5500 BLACK CART - C9730A,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,654.95,04/07/2014,HP LASERJET 4600 MAGENTA TONER C9723A,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,654.95,04/07/2014,HP LASERJET 4600 YELLOW TONER C9722A,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,654.95,04/07/2014,HP LASERJET 4600 CYAN TONER C9721A,Regeneration Enterprise and Sk
PO00028436,OFFICE DEPOT UK LIMITED,505.45,04/07/2014,HPLASER 4600 BLACK TONER C9720A,Regeneration Enterprise and Sk
PO00028437,PRICEWATERHOUSECOOPERS LLP,32798,04/07/2014,"professional services in relation to phase 9 and 10 of the woolwich estates regeneration from April 2013 to 30 September 2013
",Capital Housing Revenue Acc
PO00028438,LAKEHOUSE CONTRACTS LTD,225513,04/07/2014,"Timbercroft Primary School - carry out works as per tender works relate to replacement roofs and window, repairs and external decoration to Willow block only
",Planned Maintenance
