Reference Number,Supplier Name,Value,Purchase Order Date,Description of Goods or Services,Local Authority Department
PO00037404,BRYEN & LANGLEY LIMITED,"15,924.39",21/10/2015,"Ealdham Primary School - please carry out redecoration work to top floor classrooms. All in accordance with your tender submission dated 15.6.15 and as described in the Royal Borough of Greenwich schedule of works

DRES Ref: 6087 - Variation within 10% of original amount  increased by 1,433.39 as per invoice number 1606027 dated 10th September 2015.

Req Dated 29.9.15",Planned Maintenance
PO00038072,FACTA LTD,"14,100.00",07/10/2015,"following delivery of the satff survey prepare a range of reports showing results by a range of of indicies. Present findings to a range of forums including GMT and managers meetings. assist the CE in preparation of an action plan. this is the 2nd part of delivery from the tender appointing FACTA to deliver the staff survey dated 5.10.15 provided for additional 7100, variation report provided",Chief Executives
PO00039087,POINT 2 SURVEYORS LIMITED,"35,000.00",09/11/2015,"For Daylight/ Sunlight Surveys to six sites for future redevelopment within the Borough. A4 Req dated 11.9.15

additional req dated 2.11.15 provided for 3250 - further surveys required to bevan road site

10% of original contract value",Capital Housing Revenue Acc
PO00039167,UNIQUE OFFICE SOLUTIONS LIMITED,"2,913.00",01/10/2015,"DRES Ref: 6084Rectangular desks, 1200 x 800 with under desk cable management, beam frame MFC Top/ Silver Frame",Regeneration Enterprise and Sk
PO00039167,UNIQUE OFFICE SOLUTIONS LIMITED,"1,015.00",01/10/2015,"Rectangular desks, 1200 x 800 with under desk cable management, height settable legs MFC Top / Silver Frame",Regeneration Enterprise and Sk
PO00039167,UNIQUE OFFICE SOLUTIONS LIMITED,"2,987.10",01/10/2015,"Single gas lift monitor arm Polished Finish",Regeneration Enterprise and Sk
PO00039167,UNIQUE OFFICE SOLUTIONS LIMITED,"3,045.00",01/10/2015,"Joy 12 Mesh back chair A4 Req dated 29.9.15",Regeneration Enterprise and Sk
PO00039175,CRAY VALLEY COMMUNICATIONS LTD,"7,660.00",01/10/2015,"DRES Ref: 6036 Please raise an order to enable cabling works to be undertaken at the Woolwich Centre as part of the Clinical  ommissioning Groups move into in the Woolwich Centre.  All works carried out as agreed in the attached quotation will be recharged to the Clinical Commissioning Group (NHS). As per Estimate CVC0726A A4 Req dated 23.9.15",Regeneration Enterprise and Sk
PO00039181,LOGICALIS UK LIMITED,"6,635.30",02/10/2015,"CHG0032540 - CR66292 - QUO-72983/1-1 New 100Mb EAD LA Kings Park Building RP04174",Modernisation
PO00039197,MANAGEMENT DEVELOPMENT CENTRE LTD,"6,036.00",05/10/2015,"To pay invoice number 13354, customer code R158 Educational Course Fees RP03953",Chief Executives
PO00039221,LONDON BUSES LTD,"15,233.00",05/10/2015,"Dres Log 2116. Requirements: 6 bayt LML MK1 A COP @ bexley road outside Crown Woods school (14,958). Paving reinstatement (200). Admin (75). Exempt under B:14 but TFL require a PO Originally raised on PO00031168 but on wrong supplier as per invoice no 1800572159 dated 08 September 2015 4 Req dated 3.10.14",Transportation Schemes
PO00039224,EUROPLANT RENTALS LTD,"8,775.00",05/10/2015,"Hire of Tele-Loader for 2015/16 Winter Gritting Contract against W/O 710711/1         From 16th October 2015 to March 25th 2016.         23 Weeks 375.00 p/week + 150 Haulage


A4 Req dated 18.9.15",Housing Services
PO00039225,AECOM LIMITED,"34,610.00",17/11/2015,"For M&E and Sustainability Surveys to six sites for future redevelopment within the Borough. A4 Req dated 11.9.15 additional req dated 6.11.15 provided for 3146.00 10% variation to cover additional works required by planning for the Rochester Way scheme.  BREEAM Pre-assessment and part L2A planning stage assessment",Capital Housing Revenue Acc
PO00039228,ELEMENT ROOFING CO LTD,"6,410.70",05/10/2015,"Variation to contract to accomodate variations.  Original PO00032768 - 128 Westcombe Hill  Asset Management Index No 20064A4 Req dated 23.9.15",Housing Services HRA
PO00039229,MOTION CONSULTANTS LTD,"15,000.00",05/10/2015,"For Transport Parking and Road Surveys to six sites for future redevelopment with the Borough.  A4 Req dated 11.9.15",Capital Housing Revenue Acc
PO00039230,CALLCREDIT LIMITED,"11,250.00",05/10/2015,"contract id 055235 - Callcredit contract year 2 charges from 1.8.15 to 31.7.16 as per inv 630457 RP04254",Systems Control Accounts
PO00039231,CLEVELAND POTASH LTD,"56,700.00",05/10/2015,"1500 Tonnes of 6mm Road Salt for 2015/16 Winter Gritting contract against w/o 710711/1 A4 Req dated 18.9.15",Housing Services
PO00039232,CALDER INSULATIONS LIMITED (JR FOWLER A/,"49,620.00",05/10/2015,"Decontamination of lofts and renewal of Asbestos Lagging from Christchurch School, Commerell Street, SE10. Lofts x 4.  DCR400870",Comm Safety and Environment
PO00039233,OSBORNE ENERGY LTD,"395,252.40",05/10/2015,"contract id 054249 - energy company obligation - Barnfield Estate additional funds original PO00032518, this is 10% of original order req dated 30.9.15",Capital Housing Revenue Acc
PO00039234,LONDON PSYCHOLOGY PRACTICE,"70,400.00",05/10/2015,"Contract ID 054508 - Appointment of Locum Education Psychology Service           176 days locum EP Service @ 400 per day from 01/09/2015 - 31/08/2016",Childrens Services
PO00039234,LONDON PSYCHOLOGY PRACTICE,500.00,05/10/2015,"Expenses A4 Req dated 10.9.15",Childrens Services
PO00039234,LONDON PSYCHOLOGY PRACTICE,500.00,05/10/2015,"Expenses A4 Req dated 10.9.15",Childrens Services
PO00039235,COOPER CARLSSON EDUCATION LTD,"35,200.00",05/10/2015,"Contract ID 054508 Appointment of Locum Education Psychology Service  88 days locum EP Service @ 400 per day from 01/09/2015 - 31/08/2016",Childrens Services
PO00039235,COOPER CARLSSON EDUCATION LTD,500.00,05/10/2015,"Expenses A4 Req dated 10.9.15",Childrens Services
PO00039235,COOPER CARLSSON EDUCATION LTD,500.00,05/10/2015,"Expenses A4 Req dated 10.9.15",Childrens Services
PO00039236,SULA PSYCHOLOGY LTD,"35,200.00",05/10/2015,"Contract ID 054508 - Appointment of Locum Education Psychology Service              88 days locum EP Service @ 400 per day from 01/09/2015 - 31/08/2016",Childrens Services
PO00039236,SULA PSYCHOLOGY LTD,500.00,05/10/2015,"Expenses  A4 Req dated 10.9.15",Childrens Services
PO00039236,SULA PSYCHOLOGY LTD,500.00,05/10/2015,"Expenses  A4 Req dated 10.9.15",Childrens Services
PO00039237,CASWELL CONSULTING LTD,"70,400.00",05/10/2015,"Contract ID 054508 - Appointment of Locum Education Psychology Service 176 days locum EP Service from 01/09/2015 - 31/08/2016",Childrens Services
PO00039237,CASWELL CONSULTING LTD,500.00,05/10/2015,"Expenses (mileage & parking) A4 Req dated 10.9.15",Childrens Services
PO00039237,CASWELL CONSULTING LTD,500.00,05/10/2015,"Expenses (mileage & parking) A4 Req dated 10.9.15",Childrens Services
PO00039239,THOMAS COGHLIN,"9,405.00",05/10/2015,advocate fees req dated 17.9.15,Chief Executives
PO00039242,LONDON & QUADRANT HOUSING TRUST,"56,282.04",06/10/2015,"Payment of outstanding rent due to London and Quadrant Housing Trust Hand Back of 6 Pitfield Crescent to L&Q and associated costsA4 Req dated 9.9.15",Housing Services HRA
